,Price,Locate,Address,Beds,,,,,,
1392,R6 800,Gardens,,0.5,,,,,,
1514,R6 800,Claremont,,1,,,,,,
1946,R6 800,Maitland,"20 Nyman St, Maitland, Cape Town, 7405",2,,,,,,
2420,R6 800,Pinelands,"Anfield Village, 180 Forest Drive Road, Extension",2,,,,,,
2794,R6 800,Costa Da Gama,4 St George Street,2,,,,,,
2858,R6 800,Cape Town City Centre,74 Queen Victoria Street,1,,,,,,
2860,R6 800,Cape Town City Centre,74 Queen Victoria Street,1,,,,,,
2915,R6 800,Rondebosch,,1,,,,,,
2933,R6 800,Rondebosch,,0.5,,,,,,
2967,R6 800,Athlone,1 Klipfontein Road,2,,,,,,
3089,R6 800,Matroosfontein,436 Klipfontein Road,2,,,,,,
3342,R6 800,Claremont Upper,,1,,,,,,
3420,R6 800,Diep River,,1,,,,,,
3421,R6 800,Diep River,,1,,,,,,
3520,R6 800,Bantry Bay,17 Portman Place 21 Fir Avenue Bantry Bay,0.5,,,,,,
3542,R6 800,Athlone,,2,,,,,,
3585,R6 800,Oranjezicht,"Gardens Centre, 22 Mill Street",1,,,,,,
3702,R6 800,Heideveld,,2,,,,,,
3803,R6 800,Rondebosch,,1,,,,,,
4102,R6 800,Cape Farms,,2,,,,,,
4103,R6 800,Cape Farms,,2,,,,,,
4170,R6 800,Zonnebloem,,1,,,,,,
4425,R6 800,Kenilworth,,1,,,,,,
4529,R6 800,Athlone,436 Klipfontein Road,2,,,,,,
4556,R6 800,Oranjezicht,,1,,,,,,
4766,R6 800,Heideveld,436 Klipfontein Road,2,,,,,,
4853,R6 800,Heideveld,,2,,,,,,
1694,R6 850,Zonnebloem,,1,,,,,,
1923,R6 850,Kirstenhof,3 Nederburg Rd,1,,,,,,
2475,R6 850,Woodstock,,1,,,,,,
2476,R6 850,Woodstock,,1,,,,,,
3078,R6 850,Rosebank,3 Hill Rd,1,,,,,,
71,R6 900,Matroosfontein,1 Klipfontein Road,2,,,,,,
283,R6 900,Green Point,,0.5,,,,,,
309,R6 900,Mowbray,,2,,,,,,
737,R6 900,Lansdowne,,1,,,,,,
784,R6 900,Woodstock,"1 I-court, 47 Warwick Street",1,,,,,,
793,R6 900,Tokai,,1,,,,,,
987,R6 900,Thornton,14 Oak Avenue,2,,,,,,
1190,R6 900,Thornton,15 Tamarix Road,2,,,,,,
1226,R6 900,Matroosfontein,436 Klipfontein Road,2,,,,,,
1914,R6 900,Green Point,,1,,,,,,
1928,R6 900,Green Point,,1,,,,,,
2039,R6 900,Matroosfontein,436 Klipfontein Road,2,,,,,,
2616,R6 900,Vredehoek,11 Oaktree,0.5,,,,,,
2717,R6 900,Kenilworth,,1,,,,,,
2736,R6 900,Rosebank,,1,,,,,,
3058,R6 900,Woodstock,"2 I-court, 47 Upper Warwick Street",1,,,,,,
